,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
14,40,3,121772,8,11,2,7,2,3,1,0,0,40,1,2
38,31,3,84154,6,10,2,6,2,1,1,0,0,38,1,2
51,18,3,226956,2,9,1,5,4,1,2,0,0,30,1,1
93,30,3,117747,2,9,2,6,3,3,2,0,1573,35,7,1
245,56,3,203580,2,9,2,1,2,1,1,0,0,35,1,1
249,45,3,153141,2,9,2,1,2,1,1,0,0,40,1,1
393,34,1,98101,1,13,2,2,2,1,1,7688,0,45,1,2
453,42,3,197583,7,12,2,2,2,2,1,0,0,40,1,2
557,31,3,323069,2,9,5,1,5,1,2,0,0,20,1,1
712,36,3,271767,1,13,5,4,1,1,1,0,0,40,1,1
725,43,3,177937,1,13,1,4,1,1,1,0,0,40,1,2
729,65,2,118474,3,7,2,2,2,1,1,9386,0,59,1,2
777,34,3,73585,4,14,2,4,2,1,1,0,0,40,1,1
780,43,1,146908,6,10,2,7,2,1,1,0,0,40,1,1
887,33,7,155781,6,10,2,7,2,1,1,0,0,60,1,1
955,41,3,239683,13,6,2,7,2,1,1,0,0,30,1,1
1026,30,3,201624,1,13,1,4,1,2,1,0,0,45,1,1
1036,66,7,150726,5,5,2,2,2,1,1,1409,0,1,1,1
1115,60,7,226355,8,11,2,10,2,1,1,0,2415,70,1,2
1158,26,3,227332,1,13,1,8,5,3,1,0,0,40,1,1
1199,50,3,75472,2,9,2,7,2,1,1,4386,0,40,1,1
1224,38,3,22245,4,14,2,8,2,1,1,0,0,72,1,2
1252,30,3,283767,2,9,2,1,2,1,1,0,0,40,1,1
1326,47,3,256522,2,9,2,3,2,1,1,0,0,40,1,1
1348,36,3,153078,1,13,2,2,2,3,1,0,0,60,30,2
1391,40,5,289403,9,4,2,7,2,2,1,0,1887,40,1,2
1554,62,3,134768,10,16,2,4,2,1,1,7688,0,40,1,2
1557,41,2,195124,2,9,1,6,1,1,1,0,0,50,1,1
1581,31,3,169104,1,13,1,6,4,3,1,0,0,40,22,1
1593,55,3,98361,4,14,2,4,2,1,1,15024,0,50,1,2
1711,47,4,168191,6,10,2,7,2,1,1,0,0,40,1,1
1738,45,3,182655,1,13,3,5,1,1,1,0,0,45,1,2
1818,52,3,185407,2,9,2,7,2,1,1,0,0,40,1,1
1900,29,3,149943,6,10,1,5,1,5,1,0,1590,40,1,1
1990,19,3,365640,2,9,1,15,1,1,2,0,0,45,1,1
2015,31,3,170430,11,15,1,4,1,1,2,0,0,80,1,1
2099,61,2,115023,4,14,2,7,2,1,1,0,0,4,1,1
2104,35,3,163392,6,10,2,8,2,3,1,0,0,40,1,1
2181,34,3,244147,1,13,2,4,2,1,1,0,0,40,1,2
2371,61,5,192060,1,13,5,4,1,1,1,0,0,30,1,1
2512,47,3,277545,1,13,2,1,2,3,1,0,0,40,14,2
2518,28,3,173649,2,9,1,5,4,2,2,0,0,40,1,1
2549,43,3,57600,10,16,4,4,1,1,2,0,0,40,1,1
2572,34,3,230246,5,5,5,7,1,1,1,0,0,40,1,1
2587,36,3,153205,1,13,2,4,2,3,1,0,0,45,29,1
2591,33,3,180656,6,10,4,7,1,1,1,0,0,40,1,1
2639,28,3,128509,12,3,1,10,1,1,2,0,0,40,6,1
2717,42,3,153132,1,13,3,6,5,1,1,0,0,45,1,1
2735,26,3,225279,6,10,1,4,1,1,1,0,1602,40,1,1
2775,49,1,133917,10,16,2,4,2,2,1,0,1902,60,1,2
2794,28,3,192200,1,13,2,4,2,1,1,0,0,40,1,1
2909,55,7,183869,11,15,2,2,2,1,1,0,0,50,1,2
2926,35,3,173858,2,9,4,7,1,3,1,0,0,40,4,1
3023,38,3,53930,13,6,1,7,1,2,1,0,0,40,1,1
3107,61,1,124971,10,16,2,4,2,1,1,0,0,40,1,2
3164,41,3,173938,11,15,2,1,2,1,1,0,0,50,1,2
3166,53,3,211654,6,10,2,7,2,1,1,0,0,50,1,2
3187,40,3,170230,1,13,4,5,1,1,2,0,0,40,1,1
3200,37,3,325538,2,9,1,2,4,1,1,0,0,60,1,1
3232,56,2,236731,14,2,5,2,1,1,1,0,0,25,1,1
3247,64,7,132832,2,9,2,1,3,1,2,20051,0,40,1,2
3256,44,3,180985,1,13,2,4,2,1,1,0,0,50,1,2
3461,55,3,198385,9,4,7,5,5,1,2,0,0,20,1,1
3484,42,3,217826,2,9,1,7,4,2,1,0,0,40,1,1
