,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
61,32,3,293936,9,4,4,7,1,1,1,0,0,40,6,1
297,39,3,157443,4,14,2,4,3,3,2,3464,0,40,14,1
1152,24,3,35633,6,10,1,7,1,1,1,0,0,40,1,1
1676,64,3,168340,2,9,2,2,2,1,1,0,0,40,1,2
2513,47,3,174525,2,9,2,10,2,1,1,3942,0,40,1,1
3131,25,3,237865,6,10,1,1,4,2,1,0,0,40,1,1
3579,21,3,180303,1,13,1,1,1,3,1,0,0,25,1,1
3834,32,3,169886,1,13,1,4,1,1,2,0,0,20,1,1
6059,35,3,163582,13,6,3,5,5,1,2,0,0,16,1,1
7862,29,3,125159,6,10,1,5,1,2,1,0,0,36,1,1
9616,32,3,647882,2,9,2,7,2,1,1,0,0,40,1,1
11614,35,3,103710,1,13,3,4,5,1,2,0,0,16,1,1
12996,37,3,122265,2,9,3,1,1,3,2,0,0,42,29,1
16488,33,3,119918,1,13,1,4,1,2,1,0,0,45,1,1
16838,28,3,149646,6,10,3,1,4,1,2,0,0,20,1,1
18615,27,3,251854,1,13,2,4,3,2,2,0,0,35,1,2
20333,69,3,199591,11,15,2,4,3,1,2,0,0,25,1,1
20480,55,3,316027,9,4,2,7,2,1,1,0,0,40,1,1
23729,41,3,211873,8,11,2,6,3,1,2,0,1628,5,1,1
23915,24,3,311949,2,9,1,1,1,3,2,0,0,45,1,1
25359,38,3,94559,1,13,2,4,3,5,2,7688,0,50,1,2
26296,68,3,286869,9,4,7,10,1,1,2,0,1668,40,1,1
26363,48,3,353824,6,10,2,7,2,1,1,0,0,40,1,2
28194,27,3,133359,1,13,4,2,1,1,1,0,0,50,1,1
28688,20,3,200061,6,10,1,1,4,1,2,0,0,40,1,1
30369,20,3,250037,6,10,1,6,4,1,2,0,0,18,1,1
32525,81,3,120478,8,11,3,4,5,1,2,0,0,1,1,1
