,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
27,54,2,180211,6,10,2,2,2,3,1,0,0,60,7,2
69,25,3,200681,6,10,1,7,4,1,1,0,0,40,1,1
77,67,2,212759,13,6,2,7,2,1,1,0,0,2,1,1
106,17,3,304873,13,6,1,6,4,1,2,34095,0,32,1,1
128,35,3,129305,2,9,2,7,2,1,1,0,0,40,1,1
149,43,3,174662,6,10,3,1,1,1,2,0,0,40,1,1
154,52,3,252903,2,9,3,7,1,1,1,0,0,45,1,2
160,68,3,38317,14,2,3,5,1,1,2,0,0,20,1,1
187,53,3,135105,1,13,3,4,1,1,2,0,0,50,1,1
201,19,3,170653,2,9,1,3,4,1,1,0,0,40,15,1
221,64,3,187656,14,2,3,7,1,1,1,0,0,40,1,1
226,60,3,24215,13,6,3,5,1,4,2,0,0,10,1,1
243,20,3,119156,6,10,1,5,4,1,1,0,0,20,1,1
266,19,3,218956,6,10,1,5,4,1,1,0,0,24,11,1
312,19,3,860348,6,10,1,5,4,2,2,0,0,25,1,1
326,23,3,211601,8,11,1,1,4,2,2,0,0,15,1,1
346,67,3,36135,3,7,2,7,2,1,1,0,0,8,1,1
347,30,3,151989,8,11,3,1,5,1,2,0,0,40,1,1
354,59,3,372020,1,13,2,4,2,1,1,0,0,40,1,2
397,20,3,137300,2,9,1,5,6,1,2,0,0,35,1,1
408,28,3,123147,6,10,2,1,3,1,2,0,1887,40,1,2
430,80,2,107762,2,9,7,6,1,1,1,0,0,24,1,1
431,17,3,202521,3,7,1,3,4,1,1,0,0,40,1,1
449,17,3,258872,3,7,1,6,4,1,2,0,0,5,1,1
459,32,3,115745,6,10,2,7,2,1,1,0,0,40,1,1
471,22,3,139883,6,10,1,7,4,1,1,0,0,40,1,1
484,52,3,271749,16,8,1,5,6,2,1,594,0,40,1,1
486,63,3,401531,14,2,2,9,2,1,1,0,0,35,1,1
499,72,3,303588,2,9,2,6,2,1,1,0,0,20,1,1
511,53,3,251804,12,3,7,5,5,2,2,0,0,30,1,1
515,57,3,222216,8,11,7,1,5,1,2,0,0,38,1,1
517,20,3,214635,6,10,1,5,4,1,1,0,0,24,1,1
518,21,3,204226,6,10,1,1,5,1,2,0,0,35,1,1
539,34,3,190027,2,9,1,1,5,2,2,0,0,40,1,1
576,18,3,165532,16,8,1,5,4,1,1,0,0,25,1,1
580,65,3,195733,6,10,2,6,2,1,1,0,0,30,1,2
590,42,3,137390,2,9,2,7,2,1,1,0,0,40,1,1
591,55,3,105138,2,9,2,1,3,3,2,0,0,40,1,1
596,23,3,99399,6,10,1,1,5,4,2,0,0,25,1,1
648,58,3,158611,2,9,2,9,2,1,1,0,0,50,1,1
656,70,3,167358,5,5,7,5,5,1,2,1111,0,15,1,1
668,20,3,114746,3,7,4,6,4,3,2,0,1762,40,7,1
671,17,3,80077,3,7,1,6,4,1,2,0,0,20,1,1
686,66,2,149422,9,4,1,7,1,1,1,0,0,4,1,1
695,25,3,202480,7,12,1,6,6,1,1,0,0,45,1,1
734,45,3,51164,6,10,2,1,3,2,2,0,0,40,1,1
788,59,3,192130,2,9,2,7,2,1,1,0,0,16,1,1
789,21,3,149704,2,9,1,1,1,1,2,1055,0,40,1,1
792,18,3,196061,6,10,1,6,4,1,1,0,0,33,1,1
806,50,1,23780,4,14,4,4,6,1,1,0,0,40,1,1
811,22,3,219941,6,10,1,3,4,2,1,0,0,40,1,1
830,42,3,257780,3,7,2,7,2,1,1,0,0,15,1,1
834,72,3,28929,3,7,7,5,1,1,2,0,0,24,1,1
885,63,3,149698,6,10,2,6,2,1,1,0,0,15,1,1
890,48,3,144397,6,10,3,5,5,2,2,0,0,30,1,1
903,27,3,90270,7,12,2,7,4,4,1,0,0,40,1,1
924,64,3,29825,2,9,2,6,2,1,1,0,0,5,1,1
931,19,3,52114,6,10,1,5,4,1,2,0,0,10,1,1
969,36,3,94954,8,11,7,5,1,1,2,0,0,20,1,1
982,23,3,184699,2,9,1,1,5,2,2,0,0,40,1,1
1019,19,3,117201,2,9,1,5,4,1,1,0,0,30,1,1
1034,76,2,431192,9,4,7,13,1,1,1,0,0,2,1,1
1035,19,3,241616,2,9,1,1,5,1,1,0,2001,40,1,1
1039,34,3,164309,3,7,2,5,3,1,2,0,0,8,1,1
1046,64,3,196288,7,12,1,1,1,1,2,0,0,20,1,1
1097,19,3,80710,2,9,1,1,4,1,2,0,0,40,1,1
1100,68,2,140282,9,4,2,7,2,1,1,0,0,8,1,1
1131,34,3,181934,2,9,3,1,1,1,2,0,0,40,1,1
1134,42,3,184018,6,10,3,7,5,1,1,0,0,40,1,1
1167,22,3,131573,6,10,1,1,4,1,2,0,0,8,1,1
1175,58,3,169982,6,10,2,2,2,1,1,0,0,40,1,2
1180,50,3,146015,2,9,2,7,2,1,1,0,0,40,1,2
1185,51,3,165637,4,14,2,4,2,1,1,0,0,40,1,1
1208,22,3,42004,6,10,1,5,4,1,1,0,0,30,1,1
1215,63,3,150389,1,13,7,4,1,1,2,0,0,40,1,2
1217,33,3,163003,2,9,3,5,1,3,2,0,0,41,29,1
1262,69,3,195779,8,11,7,4,1,1,2,0,0,1,1,1
1282,65,3,36039,2,9,2,7,2,1,1,0,0,40,1,2
1290,58,3,178660,16,8,2,7,2,1,1,0,0,40,1,1
1312,20,3,244689,6,10,1,5,1,1,2,0,0,25,1,1
1317,35,3,327120,7,12,1,6,1,1,1,0,0,55,1,1
1325,17,3,138507,13,6,1,5,4,1,1,0,0,20,1,1
1347,17,3,145886,3,7,1,6,4,1,2,0,0,30,1,1
1349,62,3,225652,9,4,2,9,2,1,1,3411,0,50,1,1
1371,61,3,190997,2,9,2,5,2,1,1,0,0,6,1,1
1388,19,3,194095,6,10,1,5,4,1,1,0,0,40,1,1
1404,42,3,51795,2,9,3,5,5,2,2,0,0,32,1,1
1420,19,3,172582,6,10,1,3,4,1,1,0,0,50,1,1
1433,18,3,169882,6,10,1,6,4,1,2,594,0,15,1,1
1441,61,3,347089,2,9,2,8,2,1,1,0,0,16,1,1
1452,17,3,333100,13,6,1,5,4,1,1,1055,0,30,1,1
1458,76,3,211453,2,9,7,1,1,2,2,0,0,2,1,1
1504,60,3,290593,4,14,2,4,2,1,1,0,0,40,1,1
1544,69,3,473040,12,3,3,9,1,1,1,0,0,40,1,1
1562,75,3,111177,1,13,7,1,1,1,2,25124,0,16,1,2
1569,20,3,174714,6,10,1,5,4,1,1,0,0,16,1,1
1570,19,3,62534,1,13,1,4,4,2,2,0,0,40,3,1
1574,49,3,261059,13,6,5,10,4,1,1,2176,0,40,1,1
1579,72,3,213255,2,9,7,1,1,1,2,0,0,8,1,1
1592,20,3,206671,6,10,1,3,4,1,1,1055,0,50,1,1
1606,35,3,451940,2,9,1,1,5,2,2,0,0,40,1,1
1629,36,3,200904,7,12,2,1,3,2,2,0,0,21,23,1
1656,26,3,211798,2,9,5,1,5,1,2,0,0,40,1,1
1665,39,3,71701,2,9,3,1,5,1,2,0,0,40,1,1
1704,22,3,376277,6,10,3,1,1,1,2,0,0,35,1,1
1707,32,3,158784,9,4,7,10,1,1,2,0,0,40,1,1
1758,51,3,167651,2,9,2,7,2,1,1,0,0,40,1,1
1761,65,3,266081,2,9,2,8,2,1,1,0,0,40,1,1
1773,17,3,158762,13,6,1,5,4,1,2,0,0,20,1,1
1778,17,3,228373,13,6,1,5,4,1,1,0,0,30,1,1
1823,19,3,263338,6,10,1,6,4,1,1,0,0,45,1,1
1846,21,3,163665,6,10,1,1,4,1,2,0,0,40,1,1
1851,63,2,231777,4,14,2,4,2,1,1,0,0,30,1,1
1865,60,3,386261,1,13,4,1,5,2,2,0,0,15,1,1
1878,23,3,22966,1,13,1,5,4,1,1,0,0,35,1,1
1923,21,3,124242,6,10,1,1,4,1,2,0,0,40,1,1
1931,50,3,156008,3,7,2,5,4,2,2,0,0,40,1,1
1971,31,3,672412,3,7,5,3,1,2,1,0,0,40,1,1
1987,28,3,169631,7,12,6,4,3,1,2,0,0,3,1,1
2025,23,3,154373,1,13,1,4,1,1,2,0,0,50,1,1
2036,19,3,33487,6,10,1,1,6,4,2,0,0,40,1,1
2046,23,3,196816,2,9,1,5,1,1,1,0,0,30,1,1
2061,20,3,376474,6,10,1,5,4,1,1,0,0,32,1,1
2072,63,3,54851,2,9,2,7,2,1,1,0,0,40,1,1
2084,28,3,308493,2,9,2,1,3,1,2,0,0,17,9,1
2091,29,3,410351,1,13,1,4,1,1,1,0,0,40,1,1
2094,22,3,27937,6,10,1,8,4,1,1,0,0,36,1,1
2105,17,3,103810,16,8,1,3,4,1,1,0,0,40,1,1
2118,61,3,188172,10,16,7,4,1,1,2,0,0,5,1,1
2126,20,3,81853,6,10,1,1,4,3,2,0,0,15,1,1
2152,21,3,300812,6,10,1,5,4,1,1,0,0,30,1,1
2155,66,3,117778,3,7,2,7,2,1,1,0,0,40,1,1
2163,61,3,113544,1,13,2,2,2,1,1,0,0,55,1,1
2164,47,3,331650,2,9,2,1,3,1,2,0,0,8,1,2
2210,39,3,179352,6,10,3,1,1,1,2,0,0,35,1,1
2213,60,2,131852,12,3,2,8,2,1,1,0,0,30,1,2
2222,20,3,96862,6,10,1,1,4,1,2,0,0,8,1,1
2281,18,3,120243,3,7,1,3,4,1,1,0,0,27,1,1
2292,18,3,346382,3,7,1,5,4,1,1,0,0,15,1,1
2323,23,3,243190,6,10,1,6,4,3,1,0,0,20,29,1
