,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,39,1,77516,1,13,1,1,1,1,1,2174,0,40,1,1
1,50,2,83311,1,13,2,2,2,1,1,0,0,13,1,1
2,38,3,215646,2,9,3,3,1,1,1,0,0,40,1,1
3,53,3,234721,3,7,2,3,2,2,1,0,0,40,1,1
4,28,3,338409,1,13,2,4,3,2,2,0,0,40,2,1
5,37,3,284582,4,14,2,2,3,1,2,0,0,40,1,1
6,49,3,160187,5,5,4,5,1,2,2,0,0,16,3,1
7,52,2,209642,2,9,2,2,2,1,1,0,0,45,1,2
8,31,3,45781,4,14,1,4,1,1,2,14084,0,50,1,2
9,42,3,159449,1,13,2,2,2,1,1,5178,0,40,1,2
10,37,3,280464,6,10,2,2,2,2,1,0,0,80,1,2
11,30,1,141297,1,13,2,4,2,3,1,0,0,40,4,2
12,23,3,122272,1,13,1,1,4,1,2,0,0,30,1,1
13,32,3,205019,7,12,1,6,1,2,1,0,0,50,1,1
15,34,3,245487,9,4,2,8,2,4,1,0,0,45,6,1
16,25,2,176756,2,9,1,9,4,1,1,0,0,35,1,1
17,32,3,186824,2,9,1,10,5,1,1,0,0,40,1,1
18,38,3,28887,3,7,2,6,2,1,1,0,0,50,1,1
19,43,2,292175,4,14,3,2,5,1,2,0,0,45,1,2
20,40,3,193524,10,16,2,4,2,1,1,0,0,60,1,2
21,54,3,302146,2,9,5,5,5,2,2,0,0,20,1,1
22,35,4,76845,5,5,2,9,2,2,1,0,0,40,1,1
23,43,3,117037,3,7,2,8,2,1,1,0,2042,40,1,1
24,59,3,109015,2,9,3,11,5,1,2,0,0,40,1,1
25,56,5,216851,1,13,2,11,2,1,1,0,0,40,1,2
26,19,3,168294,2,9,1,7,4,1,1,0,0,40,1,1
28,39,3,367260,2,9,3,2,1,1,1,0,0,80,1,1
29,49,3,193366,2,9,2,7,2,1,1,0,0,40,1,1
30,23,5,190709,7,12,1,13,1,1,1,0,0,52,1,1
31,20,3,266015,6,10,1,6,4,2,1,0,0,44,1,1
32,45,3,386940,1,13,3,2,4,1,1,0,1408,40,1,1
33,30,4,59951,6,10,2,1,4,1,1,0,0,40,1,1
34,22,1,311512,6,10,2,5,2,2,1,0,0,15,1,1
35,48,3,242406,3,7,1,10,5,1,1,0,0,40,8,1
36,21,3,197200,6,10,1,10,4,1,1,0,0,40,1,1
37,19,3,544091,2,9,6,1,3,1,2,0,0,25,1,1
39,48,2,265477,7,12,2,4,2,1,1,0,0,40,1,1
40,31,3,507875,5,5,2,10,2,1,1,0,0,43,1,1
41,53,2,88506,1,13,2,4,2,1,1,0,0,40,1,1
42,24,3,172987,1,13,2,11,2,1,1,0,0,50,1,1
43,49,3,94638,2,9,5,1,5,1,2,0,0,40,1,1
44,25,3,289980,2,9,1,3,1,1,1,0,0,35,1,1
45,57,4,337895,1,13,2,4,2,2,1,0,0,40,1,2
46,53,3,144361,2,9,2,10,2,1,1,0,0,38,1,1
47,44,3,128354,4,14,3,2,5,1,2,0,0,40,1,1
48,41,1,101603,8,11,2,7,2,1,1,0,0,40,1,1
49,29,3,271466,8,11,1,4,1,1,1,0,0,43,1,1
50,25,3,32275,6,10,2,2,3,5,2,0,0,40,1,1
52,47,3,51835,11,15,2,4,3,1,2,0,1902,60,9,2
53,50,4,251585,1,13,3,2,1,1,1,0,0,55,1,2
54,47,7,109832,2,9,3,2,1,1,1,0,0,60,1,1
55,43,3,237993,6,10,2,11,2,1,1,0,0,40,1,2
56,46,3,216666,12,3,2,10,2,1,1,0,0,40,6,1
57,35,3,56352,8,11,2,5,2,1,1,0,0,40,8,1
58,41,3,147372,2,9,2,1,2,1,1,0,0,48,1,1
59,30,3,188146,2,9,2,10,2,1,1,5013,0,40,1,1
60,30,3,59496,1,13,2,6,2,1,1,2407,0,40,1,1
62,48,3,149640,2,9,2,8,2,1,1,0,0,40,1,1
63,42,3,116632,10,16,2,4,2,1,1,0,0,45,1,2
64,29,3,105598,6,10,3,11,1,1,1,0,0,58,1,1
65,36,3,155537,2,9,2,7,2,1,1,0,0,40,1,1
66,28,3,183175,6,10,3,1,1,1,2,0,0,40,1,1
67,53,3,169846,2,9,2,1,3,1,2,0,0,40,1,2
68,49,7,191681,6,10,2,2,2,1,1,0,0,50,1,2
70,19,3,101509,6,10,1,4,4,1,1,0,0,32,1,1
71,31,3,309974,1,13,5,6,4,2,2,0,0,40,1,1
72,29,2,162298,1,13,2,6,2,1,1,0,0,70,1,2
73,23,3,211678,6,10,1,10,1,1,1,0,0,40,1,1
74,79,3,124744,6,10,2,4,6,1,1,0,0,20,1,1
75,27,3,213921,2,9,1,5,4,1,1,0,0,40,6,1
76,40,3,32214,7,12,2,1,2,1,1,0,0,40,1,1
78,18,3,309634,3,7,1,5,4,1,2,0,0,22,1,1
79,31,5,125927,9,4,2,9,2,1,1,0,0,40,1,1
80,18,3,446839,2,9,1,6,1,1,1,0,0,30,1,1
81,52,3,276515,1,13,2,5,2,1,1,0,0,40,2,1
82,46,3,51618,2,9,2,5,3,1,2,0,0,40,1,1
83,59,3,159937,2,9,2,6,2,1,1,0,0,48,1,1
84,44,3,343591,2,9,3,7,1,1,2,14344,0,40,1,2
85,53,3,346253,2,9,3,6,4,1,2,0,0,35,1,1
86,49,5,268234,2,9,2,13,2,1,1,0,0,40,1,2
87,33,3,202051,4,14,2,4,2,1,1,0,0,50,1,1
88,30,3,54334,5,5,1,6,1,1,1,0,0,40,1,1
